anio,mes,VPU,fob_dolar,pos_ncm,sector,provincia,nombre_importador,primer_periodo,ultimo_periodo
2026,2,Vaca Muerta Oleoducto Sur (VMOS),13350.39,7304.19.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),5429.64,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),5551.59,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),2547.83,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),8084.87,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),900.6,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),1518.37,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),645.91,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),318.86,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),107.43,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),23.7,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),281546.03,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Parque Eólico Olavarría,23917.22,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,148412.75,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,6095.62,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Parque Eólico Olavarría,196975.84,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Parque Eólico Olavarría,133054.1,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Parque Eólico Olavarría,65481.27,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
